"","organ","immune_annotation","age_group","cell_type_count","organ_cell_count","normalized_prop"
"937","Stomach","Sema6d+ natural killer cells","06_months",30,117374,0.00025559323189122
"938","Stomach","Sema6d+ natural killer cells","12_months",91,189279,0.000480771770772246
"939","Stomach","Sema6d+ natural killer cells","16_months",61,106778,0.00057127872782783
"940","Stomach","Sema6d+ natural killer cells","23_months",79,159099,0.000496546175651638
"941","Stomach","Stab1+ double negative cells","03_months",41,115042,0.000356391578727769
"942","Stomach","Stab1+ double negative cells","06_months",26,117374,0.000221514134305724
"943","Stomach","Stab1+ double negative cells","12_months",63,189279,0.000332841995150017
"944","Stomach","Stab1+ double negative cells","16_months",20,106778,0.000187304500927157
"945","Stomach","Stab1+ double negative cells","23_months",88,159099,0.000553114727308154
"946","Stomach","Type 2 innate lymphoid cells","03_months",600,115042,0.00521548651796735
"947","Stomach","Type 2 innate lymphoid cells","06_months",208,117374,0.00177211307444579
"948","Stomach","Type 2 innate lymphoid cells","12_months",700,189279,0.00369824439055574
"949","Stomach","Type 2 innate lymphoid cells","16_months",423,106778,0.00396149019460938
"950","Stomach","Type 2 innate lymphoid cells","23_months",762,159099,0.00478947070691833
"951","Stomach","Type 3 innate lymphoid cells","03_months",13,115042,0.000113002207889293
"952","Stomach","Type 3 innate lymphoid cells","06_months",7,117374,5.96384207746179e-05
"953","Stomach","Type 3 innate lymphoid cells","12_months",21,189279,0.000110947331716672
"954","Stomach","Type 3 innate lymphoid cells","16_months",5,106778,4.68261252317893e-05
"955","Stomach","Type 3 innate lymphoid cells","23_months",29,159099,0.000182276444226551
"956","gWAT","CD4+ Ccr9+ T helper cells","03_months",6,106042,5.65813545576281e-05
"957","gWAT","CD4+ Ccr9+ T helper cells","06_months",15,186467,8.04431883389554e-05
"958","gWAT","CD4+ Ccr9+ T helper cells","12_months",53,156133,0.000339454183292449
"959","gWAT","CD4+ Ccr9+ T helper cells","16_months",40,61071,0.00065497535655221
"960","gWAT","CD4+ Ccr9+ T helper cells","23_months",249,190411,0.00130769755948974
"961","gWAT","CD4+ T follicular helper cells","03_months",35,106042,0.000330057901586164
"962","gWAT","CD4+ T follicular helper cells","06_months",152,186467,0.000815157641834748
"963","gWAT","CD4+ T follicular helper cells","12_months",232,156133,0.00148591265139336
"964","gWAT","CD4+ T follicular helper cells","16_months",201,61071,0.00329125116667485
"965","gWAT","CD4+ T follicular helper cells","23_months",2539,190411,0.0133343136688532
"966","gWAT","CD4+ T regulatory cells","03_months",127,106042,0.00119763867146979
"967","gWAT","CD4+ T regulatory cells","06_months",283,186467,0.00151769481999496
"968","gWAT","CD4+ T regulatory cells","12_months",686,156133,0.00439368999506831
"969","gWAT","CD4+ T regulatory cells","16_months",309,61071,0.00505968462936582
"970","gWAT","CD4+ T regulatory cells","23_months",2418,190411,0.0126988461801051
"971","gWAT","CD4+ memory T cells","03_months",285,106042,0.00268761434148733
"972","gWAT","CD4+ memory T cells","06_months",428,186467,0.00229531230727153
"973","gWAT","CD4+ memory T cells","12_months",836,156133,0.00535440938174505
"974","gWAT","CD4+ memory T cells","16_months",721,61071,0.0118059308018536
"975","gWAT","CD4+ memory T cells","23_months",1742,190411,0.00914863111900048
"976","gWAT","CD4+ naive T cells","03_months",83,106042,0.000782708738047189
"977","gWAT","CD4+ naive T cells","06_months",215,186467,0.00115301903285836
"978","gWAT","CD4+ naive T cells","12_months",352,156133,0.00225448816073476
"979","gWAT","CD4+ naive T cells","16_months",328,61071,0.00537079792372812
"980","gWAT","CD4+ naive T cells","23_months",2959,190411,0.0155400685884744
"981","gWAT","CD8+ Gzmb+ cytotoxic T cells","03_months",5,106042,4.71511287980234e-05
"982","gWAT","CD8+ Gzmb+ cytotoxic T cells","06_months",11,186467,5.89916714485673e-05
"983","gWAT","CD8+ Gzmb+ cytotoxic T cells","12_months",18,156133,0.000115286326401209
"984","gWAT","CD8+ Gzmb+ cytotoxic T cells","16_months",6,61071,9.82463034828315e-05
"985","gWAT","CD8+ Gzmb+ cytotoxic T cells","23_months",13,190411,6.82733665597051e-05
"986","gWAT","CD8+ Gzmk+ cytotoxic T cells","03_months",63,106042,0.000594104222855095
"987","gWAT","CD8+ Gzmk+ cytotoxic T cells","06_months",145,186467,0.000777617487276569
"988","gWAT","CD8+ Gzmk+ cytotoxic T cells","12_months",369,156133,0.00236336969122479
"989","gWAT","CD8+ Gzmk+ cytotoxic T cells","16_months",486,61071,0.00795795058210935
"990","gWAT","CD8+ Gzmk+ cytotoxic T cells","23_months",3078,190411,0.0161650324823671
